,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,PlayingTime_MP,PlayingTime_Min,PlayingTime_Mn/MP,PlayingTime_Min%,PlayingTime_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,TeamSuccess_PPM,TeamSuccess_onG,TeamSuccess_onGA,TeamSuccess_+/-,TeamSuccess_+/-90,TeamSuccess_On-Off,TeamSuccess(xG)_onxG,TeamSuccess(xG)_onxGA,TeamSuccess(xG)_xG+/-,TeamSuccess(xG)_xG+/-90,TeamSuccess(xG)_On-Off,Matches
0,1,Brenden Aaronson,us USA,MFFW,Union Berlin,22.0,2000.0,30,1267.0,42.0,41.4,14.1,14,68.0,2,16,20.0,2,1.07,17.0,23.0,-6.0,-0.43,0.53,15.4,21.2,-5.9,-0.42,-0.19,Matches
1,2,Paxten Aaronson,us USA,MF,Eint Frankfurt,19.0,2003.0,7,101.0,14.0,3.3,1.1,1,45.0,0,6,9.0,7,0.86,2.0,2.0,0.0,0.0,-0.03,1.1,2.6,-1.5,-1.3,-1.16,Matches
2,3,Junior Adamu,at AUT,FWMF,Freiburg,22.0,2001.0,15,105.0,7.0,3.4,1.2,0,,0,15,7.0,13,1.47,1.0,5.0,-4.0,-3.43,-3.15,0.9,3.4,-2.5,-2.17,-2.22,Matches
3,4,Sargis Adamyan,am ARM,FWMF,Köln,30.0,1993.0,20,801.0,40.0,26.2,8.9,8,73.0,1,12,18.0,5,0.8,9.0,21.0,-12.0,-1.35,-0.55,11.8,16.5,-4.6,-0.52,0.31,Matches
4,5,Karim Adeyemi,de GER,FWMF,Dortmund,21.0,2002.0,21,913.0,43.0,29.8,10.1,10,64.0,1,11,25.0,3,1.76,19.0,15.0,4.0,0.39,-0.49,18.4,17.1,1.2,0.12,-0.31,Matches
5,6,Amine Adli,ma MAR,MFFW,Leverkusen,23.0,2000.0,23,898.0,39.0,29.3,10.0,8,71.0,1,15,22.0,4,2.65,28.0,9.0,19.0,1.9,-0.01,24.2,10.4,13.8,1.39,0.14,Matches
6,7,Felix Agu,de GER,DFMF,Werder Bremen,23.0,1999.0,24,1614.0,67.0,52.7,17.9,19,81.0,4,5,14.0,5,1.42,21.0,23.0,-2.0,-0.11,0.14,22.5,28.7,-6.3,-0.35,-0.14,Matches
7,8,Ludovic Ajorque,fr FRA,FW,Mainz 05,29.0,1994.0,26,1360.0,52.0,44.4,15.1,15,80.0,9,11,14.0,6,1.04,13.0,26.0,-13.0,-0.86,-0.91,20.6,20.9,-0.2,-0.01,-0.03,Matches
8,9,Kevin Akpoguma,ng NGA,DF,Hoffenheim,28.0,1995.0,17,1097.0,65.0,35.8,12.2,11,86.0,9,6,26.0,11,1.35,26.0,21.0,5.0,0.41,0.64,20.2,20.1,0.1,0.01,0.34,Matches
9,10,Faride Alidou,de GER,FWMF,Köln,22.0,2001.0,26,1282.0,49.0,41.9,14.2,14,69.0,0,12,27.0,2,0.85,12.0,27.0,-15.0,-1.05,-0.19,15.0,24.5,-9.5,-0.67,0.13,Matches
10,11,Skelly Alvero,fr FRA,MF,Werder Bremen,21.0,2002.0,6,123.0,21.0,4.0,1.4,1,78.0,0,5,9.0,3,0.5,1.0,1.0,0.0,0.0,0.18,2.0,1.7,0.3,0.18,0.49,Matches
11,12,Nadiem Amiri,de GER,MF,Mainz 05,26.0,1996.0,15,1315.0,88.0,43.0,14.6,15,88.0,11,0,,0,1.53,23.0,20.0,3.0,0.21,0.98,23.3,21.7,1.6,0.11,0.18,Matches
12,13,Nadiem Amiri,de GER,MF,Leverkusen,26.0,1996.0,8,86.0,11.0,2.8,1.0,1,67.0,0,7,3.0,11,2.5,0.0,0.0,0.0,0.0,-1.97,2.3,0.7,1.6,1.62,0.34,Matches
13,14,Kofi Amoako,de GER,MF,Wolfsburg,18.0,2005.0,2,2.0,1.0,0.1,0.0,0,,0,2,1.0,4,2.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.16,Matches
14,15,Robert Andrich,de GER,MFDF,Leverkusen,28.0,1994.0,28,1690.0,60.0,55.2,18.8,18,87.0,16,10,12.0,6,2.71,47.0,9.0,38.0,2.02,0.25,40.7,14.0,26.6,1.42,0.3,Matches
15,16,Spyridon Angelidis,gr GRE,GK,Werder Bremen,18.0,2005.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
16,17,Waldemar Anton,de GER,DF,Stuttgart,27.0,1996.0,33,2886.0,87.0,94.3,32.1,32,89.0,30,1,45.0,0,2.12,76.0,38.0,38.0,1.19,0.67,68.4,34.7,33.7,1.05,1.57,Matches
17,18,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,29.0,1994.0,25,1216.0,49.0,39.7,13.5,11,76.0,1,14,27.0,2,1.0,18.0,28.0,-10.0,-0.74,0.33,17.3,26.1,-8.9,-0.66,-0.15,Matches
18,19,Asaf Arania,il ISR,MF,Darmstadt 98,17.0,2005.0,1,6.0,6.0,0.2,0.1,0,,0,1,6.0,2,0.0,0.0,1.0,-1.0,-15.0,-13.38,0.0,0.5,-0.5,-8.23,-7.04,Matches
19,20,Maximilian Arnold,de GER,MF,Wolfsburg,29.0,1994.0,30,2506.0,84.0,81.9,27.8,27,90.0,26,3,26.0,0,1.0,32.0,49.0,-17.0,-0.61,-0.94,30.6,37.4,-6.7,-0.24,-0.43,Matches
20,21,Arthur,br BRA,DF,Leverkusen,20.0,2003.0,4,184.0,46.0,6.0,2.0,2,75.0,1,2,17.0,4,3.0,8.0,1.0,7.0,3.42,1.61,6.1,1.8,4.3,2.09,0.86,Matches
21,22,Takuma Asano,jp JPN,FWMF,Bochum,28.0,1994.0,29,1986.0,68.0,64.9,22.1,26,74.0,5,3,21.0,0,0.86,25.0,53.0,-28.0,-1.27,-0.93,29.2,41.6,-12.4,-0.56,0.02,Matches
22,23,Jonathan Asp Jensen,dk DEN,FW,Bayern Munich,17.0,2006.0,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,0,3.0,0.0,0.0,0.0,0.0,-1.44,0.0,0.0,0.0,0.0,-1.56,Matches
23,24,Noah Atubolu,de GER,GK,Freiburg,21.0,2002.0,34,3060.0,90.0,100.0,34.0,34,90.0,34,0,,0,1.24,45.0,58.0,-13.0,-0.38,,49.4,50.5,-1.1,-0.03,,Matches
24,25,Adam Aznou,es ESP,DF,Bayern Munich,17.0,2006.0,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
25,26,Matthias Bader,de GER,DFMF,Darmstadt 98,26.0,1997.0,24,1802.0,75.0,58.9,20.0,21,82.0,12,3,26.0,0,0.71,22.0,41.0,-19.0,-0.95,1.7,20.5,38.2,-17.7,-0.88,0.77,Matches
26,27,Elias Bakatukanda,de GER,MF,Köln,19.0,2004.0,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
27,28,Ridle Baku,de GER,DFMF,Wolfsburg,25.0,1998.0,33,2013.0,61.0,65.8,22.4,22,81.0,10,11,20.0,0,1.09,28.0,34.0,-6.0,-0.27,0.51,24.8,29.9,-5.2,-0.23,-0.2,Matches
28,29,Samuel Bamba,de GER,FW,Dortmund,19.0,2004.0,2,47.0,24.0,1.5,0.5,0,,0,2,24.0,2,1.0,0.0,0.0,0.0,0.0,-0.75,1.6,0.8,0.9,1.66,1.34,Matches
29,30,Aymen Barkok,ma MAR,MFFW,Mainz 05,25.0,1998.0,13,321.0,25.0,10.5,3.6,1,68.0,0,12,21.0,0,0.62,7.0,7.0,0.0,0.0,0.39,5.7,6.2,-0.5,-0.15,-0.17,Matches
30,31,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,23.0,2000.0,31,2606.0,84.0,85.2,29.0,29,88.0,26,2,29.0,0,1.1,36.0,38.0,-2.0,-0.07,1.91,38.9,34.4,4.5,0.15,1.0,Matches
31,32,Daniel Batz,de GER,GK,Mainz 05,32.0,1991.0,4,360.0,90.0,11.8,4.0,4,90.0,4,0,,16,0.5,1.0,3.0,-2.0,-0.5,-0.17,6.2,2.9,3.3,0.83,0.94,Matches
32,33,Maximilian Bauer,de GER,DF,Augsburg,23.0,2000.0,14,810.0,58.0,26.5,9.0,9,83.0,6,5,12.0,15,1.57,15.0,22.0,-7.0,-0.78,-0.66,15.6,17.8,-2.2,-0.24,0.12,Matches
33,34,Elias Baum,de GER,DFMF,Eint Frankfurt,17.0,2005.0,4,28.0,7.0,0.9,0.3,0,,0,4,7.0,1,1.25,1.0,0.0,1.0,3.21,3.21,0.3,1.1,-0.8,-2.5,-2.35,Matches
34,35,Oliver Baumann,de GER,GK,Hoffenheim,33.0,1990.0,34,3060.0,90.0,100.0,34.0,34,90.0,34,0,,0,1.35,66.0,66.0,0.0,0.0,,53.6,60.8,-7.2,-0.21,,Matches
35,36,Christoph Baumgartner,at AUT,MFFW,RB Leipzig,23.0,1999.0,32,1158.0,36.0,37.8,12.9,11,69.0,0,21,19.0,2,1.94,23.0,16.0,7.0,0.54,-0.92,29.3,12.4,16.9,1.32,0.91,Matches
36,37,Mika Baur,de GER,MF,Freiburg,19.0,2004.0,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
37,38,Ihlas Bebou,tg TOG,FWDF,Hoffenheim,29.0,1994.0,32,1636.0,51.0,53.5,18.2,16,82.0,6,16,20.0,2,1.34,36.0,37.0,-1.0,-0.06,-0.12,27.7,34.4,-6.7,-0.37,-0.33,Matches
38,39,Adrian Beck,de GER,MFFW,Heidenheim,26.0,1997.0,23,974.0,42.0,31.8,10.8,11,61.0,1,12,26.0,5,1.13,16.0,20.0,-4.0,-0.37,-0.33,11.4,20.3,-9.0,-0.83,-0.24,Matches
39,40,Sheraldo Becker,sr SUR,FWMF,Union Berlin,28.0,1995.0,11,645.0,59.0,21.1,7.2,7,72.0,1,4,35.0,0,0.55,6.0,17.0,-11.0,-1.53,-1.01,9.6,12.1,-2.5,-0.35,-0.06,Matches
40,41,Chris Bedia,ci CIV,FWMF,Union Berlin,27.0,1996.0,7,145.0,21.0,4.7,1.6,0,,0,7,21.0,8,0.0,3.0,5.0,-2.0,-1.24,-0.53,2.4,4.0,-1.7,-1.03,-0.76,Matches
41,42,Donny van de Beek,nl NED,MFFW,Eint Frankfurt,26.0,1997.0,8,357.0,45.0,11.7,4.0,4,59.0,0,4,30.0,7,1.5,4.0,3.0,1.0,0.25,0.25,4.8,5.3,-0.4,-0.11,0.07,Matches
42,43,Kevin Behrens,de GER,FW,Wolfsburg,32.0,1991.0,13,616.0,47.0,20.1,6.8,7,78.0,1,6,12.0,2,1.15,8.0,11.0,-3.0,-0.44,0.0,9.6,7.6,2.0,0.29,0.56,Matches
43,44,Kevin Behrens,de GER,FW,Union Berlin,32.0,1991.0,18,1262.0,70.0,41.2,14.0,14,81.0,6,4,34.0,0,0.94,13.0,24.0,-11.0,-0.78,-0.08,18.1,19.6,-1.4,-0.1,0.35,Matches
44,45,Morten Behrens,de GER,GK,Darmstadt 98,26.0,1997.0,0,,,,,0,,0,0,,12,,,,,,,,,,,,Matches
45,46,Maximilian Beier,de GER,FWMF,Hoffenheim,20.0,2002.0,33,2420.0,73.0,79.1,26.9,29,81.0,9,4,19.0,0,1.3,51.0,51.0,0.0,0.0,0.0,43.2,45.2,-2.0,-0.07,0.65,Matches
46,47,Stefan Bell,de GER,DF,Mainz 05,31.0,1991.0,10,666.0,67.0,21.8,7.4,8,76.0,4,2,29.0,4,0.4,6.0,21.0,-15.0,-2.03,-2.14,6.1,12.6,-6.4,-0.87,-1.12,Matches
47,48,Ramy Bensebaini,dz ALG,DF,Dortmund,28.0,1995.0,17,1033.0,61.0,33.8,11.5,11,83.0,7,6,21.0,3,1.94,21.0,17.0,4.0,0.35,-0.58,23.0,19.5,3.5,0.31,-0.05,Matches
48,49,Mergim Berisha,de GER,FW,Hoffenheim,25.0,1998.0,6,144.0,24.0,4.7,1.6,0,,0,6,24.0,2,1.5,1.0,2.0,-1.0,-0.62,-0.66,1.5,3.0,-1.5,-0.91,-0.74,Matches
49,50,Mergim Berisha,de GER,FW,Augsburg,25.0,1998.0,2,122.0,61.0,4.0,1.4,2,61.0,0,0,,0,0.5,3.0,5.0,-2.0,-1.48,-1.23,2.4,2.4,0.0,-0.03,0.31,Matches
50,51,Bernardo,br BRA,DF,Bochum,28.0,1995.0,33,2924.0,89.0,95.6,32.5,33,89.0,31,0,,0,1.0,41.0,68.0,-27.0,-0.83,2.48,43.9,57.9,-14.0,-0.43,3.09,Matches
51,52,Matúš Bero,sk SVK,MFFW,Bochum,27.0,1995.0,24,1661.0,69.0,54.3,18.5,20,78.0,8,4,25.0,0,0.96,24.0,44.0,-20.0,-1.08,-0.31,22.2,36.6,-14.4,-0.78,-0.47,Matches
52,53,Jan-Niklas Beste,de GER,FWMF,Heidenheim,24.0,1999.0,31,2603.0,84.0,85.1,28.9,31,84.0,5,0,,0,1.26,43.0,45.0,-2.0,-0.07,0.52,32.5,51.8,-19.4,-0.67,-0.06,Matches
53,54,Pep Biel,es ESP,MFFW,Augsburg,26.0,1996.0,11,285.0,26.0,9.3,3.2,0,,0,11,26.0,3,1.09,4.0,4.0,0.0,0.0,0.32,5.1,5.4,-0.3,-0.1,0.26,Matches
54,55,Tom Bischof,de GER,MFFW,Hoffenheim,18.0,2005.0,13,178.0,14.0,5.8,2.0,1,77.0,0,12,8.0,15,1.08,9.0,4.0,5.0,2.53,2.68,6.2,5.1,1.2,0.58,0.84,Matches
55,56,Leonardo Bittencourt,de GER,MF,Werder Bremen,29.0,1993.0,29,1578.0,54.0,51.6,17.5,19,75.0,1,10,15.0,3,1.24,23.0,23.0,0.0,0.0,0.36,22.2,28.3,-6.1,-0.35,-0.13,Matches
56,57,Hendry Blank,de GER,DF,Dortmund,18.0,2004.0,1,45.0,45.0,1.5,0.5,0,,0,1,45.0,4,3.0,3.0,0.0,3.0,6.0,5.34,2.6,1.0,1.6,3.18,2.89,Matches
57,58,Janis Blaswich,de GER,GK,RB Leipzig,32.0,1991.0,21,1890.0,90.0,61.8,21.0,21,90.0,21,0,,13,1.62,45.0,30.0,15.0,0.71,-1.05,40.0,27.4,12.6,0.6,-0.39,Matches
58,59,Sacha Boey,fr FRA,DF,Bayern Munich,22.0,2000.0,2,109.0,55.0,3.6,1.2,1,80.0,0,1,29.0,2,1.5,2.0,2.0,0.0,0.0,-1.49,1.2,1.2,-0.1,-0.06,-1.67,Matches
59,60,Victor Boniface,ng NGA,FW,Leverkusen,22.0,2000.0,23,1546.0,67.0,50.5,17.2,18,80.0,4,5,21.0,0,2.57,52.0,13.0,39.0,2.27,0.72,37.1,16.9,20.1,1.17,-0.23,Matches
60,61,Leonardo Bonucci,it ITA,DF,Union Berlin,36.0,1987.0,7,460.0,66.0,15.0,5.1,6,73.0,2,1,23.0,5,0.43,3.0,13.0,-10.0,-1.96,-1.44,7.1,7.0,0.1,0.02,0.39,Matches
61,62,Yvandro Borges Sanches,lu LUX,MFFW,Gladbach,19.0,2004.0,3,18.0,6.0,0.6,0.2,0,,0,3,6.0,4,0.67,1.0,0.0,1.0,5.0,5.36,0.9,0.4,0.5,2.62,2.86,Matches
62,63,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,24.0,1999.0,20,1431.0,72.0,46.8,15.9,16,84.0,12,4,20.0,7,1.1,17.0,30.0,-13.0,-0.82,-0.71,14.0,22.9,-8.9,-0.56,-0.74,Matches
63,64,Rafael Borré,co COL,FW,Werder Bremen,27.0,1995.0,19,991.0,52.0,32.4,11.0,11,77.0,2,8,19.0,1,1.37,13.0,18.0,-5.0,-0.45,-0.41,12.8,17.4,-4.6,-0.42,-0.21,Matches
64,65,Julian Brandt,de GER,MFFW,Dortmund,27.0,1996.0,32,2223.0,69.0,72.6,24.7,26,78.0,12,6,33.0,0,1.84,44.0,29.0,15.0,0.61,-0.47,42.1,36.4,5.7,0.23,-0.39,Matches
65,66,Fabian Bredlow,de GER,GK,Stuttgart,28.0,1995.0,4,360.0,90.0,11.8,4.0,4,90.0,4,0,,26,2.5,9.0,3.0,6.0,1.5,0.4,7.0,4.4,2.6,0.66,-0.34,Matches
66,67,Tim Breithaupt,de GER,MF,Augsburg,21.0,2002.0,16,629.0,39.0,20.6,7.0,6,70.0,1,10,21.0,13,0.88,6.0,19.0,-13.0,-1.86,-1.97,9.7,16.9,-7.1,-1.02,-0.87,Matches
67,68,Maximilian Breunig,de GER,FW,Freiburg,22.0,2000.0,2,9.0,5.0,0.3,0.1,0,,0,2,5.0,6,1.5,0.0,1.0,-1.0,-10.0,-9.65,0.2,0.3,-0.1,-1.0,-0.97,Matches
68,69,Bennit Bröger,de GER,FW,Wolfsburg,17.0,2006.0,1,11.0,11.0,0.4,0.1,0,,0,1,11.0,0,0.0,0.0,1.0,-1.0,-8.18,-7.77,0.1,0.5,-0.4,-3.0,-2.85,Matches
69,70,John Brooks,us USA,DF,Hoffenheim,30.0,1993.0,21,1539.0,73.0,50.3,17.1,18,81.0,14,3,26.0,10,1.76,36.0,32.0,4.0,0.23,0.47,28.8,31.1,-2.4,-0.14,0.14,Matches
70,71,Moritz Broschinski,de GER,FW,Bochum,22.0,2000.0,26,1247.0,48.0,40.8,13.9,14,71.0,3,12,21.0,4,1.12,20.0,25.0,-5.0,-0.36,0.98,17.9,23.6,-5.8,-0.42,0.26,Matches
71,72,Paris Brunner,de GER,FW,Dortmund,17.0,2006.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
72,73,Alexander Brunst,de GER,GK,Darmstadt 98,28.0,1995.0,3,270.0,90.0,8.8,3.0,3,90.0,3,0,,21,0.2,2.0,16.0,-14.0,-4.67,-3.31,1.4,7.1,-5.7,-1.9,-0.77,Matches
73,74,Guille Bueno,es ESP,DF,Dortmund,20.0,2002.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
74,75,Marius Bülter,de GER,DFFW,Hoffenheim,30.0,1993.0,30,1351.0,45.0,44.2,15.0,15,71.0,5,15,19.0,1,1.4,27.0,30.0,-3.0,-0.2,-0.36,25.5,27.5,-1.9,-0.13,0.15,Matches
75,76,Jonathan Burkardt,de GER,FWMF,Mainz 05,23.0,2000.0,21,1538.0,73.0,50.3,17.1,18,82.0,10,3,22.0,0,1.19,24.0,20.0,4.0,0.23,1.18,25.2,20.8,4.4,0.26,0.5,Matches
76,77,Oliver Burke,sct SCO,FW,Werder Bremen,26.0,1997.0,1,32.0,32.0,1.0,0.4,0,,0,1,32.0,0,0.0,0.0,3.0,-3.0,-8.44,-8.35,0.1,1.7,-1.6,-4.44,-4.2,Matches
77,78,Marnon Busch,de GER,DF,Heidenheim,28.0,1994.0,16,595.0,37.0,19.4,6.6,5,67.0,2,11,23.0,5,1.0,9.0,12.0,-3.0,-0.45,-0.38,7.2,9.7,-2.5,-0.37,0.36,Matches
78,79,Jakob Busk,dk DEN,GK,Union Berlin,29.0,1993.0,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
79,80,Aurélio Buta,pt POR,DFMF,Eint Frankfurt,26.0,1997.0,30,1744.0,58.0,57.0,19.4,20,78.0,7,10,18.0,2,1.4,30.0,33.0,-3.0,-0.15,-0.43,25.0,32.1,-7.1,-0.37,-0.45,Matches
80,81,Jamie Bynoe-Gittens,eng ENG,FWMF,Dortmund,18.0,2004.0,25,1058.0,42.0,34.6,11.8,14,62.0,1,11,18.0,9,1.84,25.0,12.0,13.0,1.11,0.57,22.6,14.9,7.7,0.65,0.48,Matches
81,82,Anders Børset,no NOR,DF,Wolfsburg,17.0,2006.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
82,83,Anthony Caci,fr FRA,DF,Mainz 05,26.0,1997.0,31,2486.0,80.0,81.2,27.6,29,84.0,20,2,19.0,0,1.06,32.0,45.0,-13.0,-0.47,-0.63,35.9,37.9,-1.9,-0.07,-0.4,Matches
83,84,Emre Can,de GER,MFDF,Dortmund,29.0,1994.0,25,1953.0,78.0,63.8,21.7,22,86.0,16,3,21.0,4,2.0,41.0,22.0,19.0,0.88,0.39,39.0,28.0,11.0,0.51,0.46,Matches
84,85,Irvin Cardona,fr FRA,MFDF,Augsburg,25.0,1997.0,3,54.0,18.0,1.8,0.6,0,,0,3,18.0,1,0.33,2.0,1.0,1.0,1.67,2.0,1.1,1.4,-0.3,-0.55,-0.22,Matches
85,86,Rasmus Carstensen,dk DEN,DFFW,Köln,22.0,2000.0,23,1659.0,72.0,54.2,18.4,18,87.0,11,5,20.0,9,0.61,14.0,40.0,-26.0,-1.41,-1.03,19.5,41.9,-22.4,-1.22,-1.03,Matches
86,87,Fabio Carvalho,pt POR,MF,RB Leipzig,20.0,2002.0,9,165.0,18.0,5.4,1.8,1,69.0,0,8,12.0,7,1.67,2.0,0.0,2.0,1.09,-0.03,1.9,1.2,0.6,0.35,-0.43,Matches
87,88,Koen Casteels,be BEL,GK,Wolfsburg,31.0,1992.0,25,2250.0,90.0,73.5,25.0,25,90.0,25,0,,0,1.2,31.0,39.0,-8.0,-0.32,0.46,27.4,34.8,-7.3,-0.29,-0.49,Matches
88,89,Václav Černý,cz CZE,FWMF,Wolfsburg,25.0,1997.0,22,921.0,42.0,30.1,10.2,12,67.0,0,10,12.0,8,0.91,13.0,17.0,-4.0,-0.39,0.07,12.5,13.4,-0.9,-0.09,0.1,Matches
89,90,Julian Chabot,de GER,DF,Köln,25.0,1998.0,32,2703.0,84.0,88.3,30.0,32,84.0,27,0,,0,0.84,28.0,52.0,-24.0,-0.8,1.22,35.7,55.2,-19.5,-0.65,0.81,Matches
90,91,El Chadaille Bitshiabu,fr FRA,DFMF,RB Leipzig,18.0,2005.0,6,34.0,6.0,1.1,0.4,0,,0,6,6.0,14,2.33,0.0,0.0,0.0,0.0,-1.13,0.7,1.1,-0.4,-1.04,-1.81,Matches
91,92,Fares Chaïbi,dz ALG,MFFW,Eint Frankfurt,20.0,2002.0,28,1912.0,68.0,62.5,21.2,21,79.0,6,7,35.0,1,1.36,37.0,37.0,0.0,0.0,-0.08,31.4,32.5,-1.1,-0.05,0.32,Matches
92,93,Timothy Chandler,us USA,MFDF,Eint Frankfurt,33.0,1990.0,6,18.0,3.0,0.6,0.2,0,,0,6,3.0,12,1.0,1.0,1.0,0.0,0.0,-0.03,1.0,1.1,-0.1,-0.46,-0.28,Matches
93,94,Anrie Chase,jp JPN,DF,Stuttgart,19.0,2004.0,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
94,95,Fabio Chiarodia,it ITA,DF,Gladbach,18.0,2005.0,7,152.0,22.0,5.0,1.7,1,79.0,0,6,12.0,17,1.57,2.0,5.0,-3.0,-1.78,-1.53,2.7,4.3,-1.5,-0.9,-0.71,Matches
