,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,PlayingTime_MP,PlayingTime_Starts,PlayingTime_Min,PlayingTime_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,PenaltyKicks_PKatt,PenaltyKicks_PKA,PenaltyKicks_PKsv,PenaltyKicks_PKm,PenaltyKicks_Save%,Matches
0,1,Alaa Bellaarouch,ma MAR,GK,Strasbourg,21,2002,15,15,1350,15.0,26,1.73,63,37,63.5,4,2,9,2,13.3,4,3,1,0,25.0,Matches
1,2,Dimitry Bertaud,cd COD,GK,Montpellier,25,1998,4,4,360,4.0,11,2.75,34,23,67.6,1,1,2,0,0.0,0,0,0,0,,Matches
2,3,Marco Bizot,nl NED,GK,Brest,32,1991,32,32,2876,32.0,34,1.06,129,94,75.2,15,10,7,13,40.6,3,2,1,0,33.3,Matches
3,4,Rubén Blanco,es ESP,GK,Marseille,28,1995,2,1,121,1.3,2,1.49,6,4,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
4,5,Marcin Bułka,pl POL,GK,Nice,23,1999,34,34,3060,34.0,29,0.85,105,74,77.1,15,10,9,17,50.0,8,5,3,0,37.5,Matches
5,6,Lucas Chevalier,fr FRA,GK,Lille,21,2001,33,33,2969,33.0,32,0.97,123,91,76.4,16,10,7,15,45.5,5,3,2,0,40.0,Matches
6,7,Grégoire Coudert,fr FRA,GK,Brest,24,1999,3,2,181,2.0,0,0.0,4,4,100.0,2,0,0,2,100.0,0,0,0,0,,Matches
7,8,Rémy Descamps,fr FRA,GK,Nantes,27,1996,6,6,540,6.0,11,1.83,37,26,73.0,2,2,2,1,16.7,2,1,0,1,0.0,Matches
8,9,Arthur Desmas,fr FRA,GK,Le Havre,29,1994,33,33,2970,33.0,43,1.3,153,111,72.5,7,11,15,7,21.2,3,1,1,1,50.0,Matches
9,10,Mory Diaw,sn SEN,GK,Clermont Foot,30,1993,30,30,2700,30.0,54,1.8,188,134,74.5,4,8,18,5,16.7,8,6,1,1,14.3,Matches
10,11,Guillaume Dietsch,fr FRA,GK,Metz,22,2001,1,0,73,0.8,1,1.23,3,2,66.7,0,0,0,0,,0,0,0,0,,Matches
11,12,Yehvann Diouf,fr FRA,GK,Reims,23,1999,34,34,3060,34.0,47,1.38,137,90,70.1,13,8,13,8,23.5,7,6,1,0,14.3,Matches
12,13,Gianluigi Donnarumma,it ITA,GK,Paris S-G,24,1999,25,25,2169,24.1,20,0.83,110,89,84.5,18,6,1,10,40.0,4,3,1,0,25.0,Matches
13,14,Mathieu Gorgelin,fr FRA,GK,Le Havre,32,1990,1,1,90,1.0,2,2.0,5,3,80.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
14,15,Philipp Köhn,ch SUI,GK,Monaco,25,1998,22,22,1980,22.0,32,1.45,97,65,72.2,11,5,6,5,22.7,6,5,1,0,16.7,Matches
15,16,Alban Lafont,fr FRA,GK,Nantes,24,1999,28,28,2496,27.7,43,1.55,118,75,70.3,7,4,17,7,25.0,8,8,0,0,0.0,Matches
16,17,Jean-Louis Leca,fr FRA,GK,Lens,37,1985,1,1,90,1.0,2,2.0,2,0,0.0,0,1,0,0,0.0,0,0,0,0,,Matches
17,18,Benjamin Lecomte,fr FRA,GK,Montpellier,32,1991,30,30,2700,30.0,37,1.23,137,102,75.9,9,11,10,10,33.3,5,4,1,0,20.0,Matches
18,19,Anthony Lopes,pt POR,GK,Lyon,32,1990,31,31,2790,31.0,49,1.58,155,106,71.0,16,4,11,9,29.0,6,4,1,1,20.0,Matches
19,20,Pau López,es ESP,GK,Marseille,28,1994,33,33,2939,32.7,39,1.19,124,86,71.0,13,11,9,7,21.2,3,3,0,0,0.0,Matches
20,21,Radosław Majecki,pl POL,GK,Monaco,23,1999,12,12,1080,12.0,10,0.83,54,45,81.5,9,2,1,7,58.3,0,0,0,0,,Matches
21,22,Steve Mandanda,fr FRA,GK,Rennes,38,1985,34,34,3060,34.0,46,1.35,147,104,70.7,12,10,12,7,20.6,3,3,0,0,0.0,Matches
22,23,Vito Mannone,it ITA,GK,Lille,35,1988,2,1,91,1.0,2,1.98,5,3,60.0,0,1,0,0,0.0,0,0,0,0,,Matches
23,24,Yvon Mvogo,ch SUI,GK,Lorient,29,1994,34,34,3060,34.0,66,1.94,207,142,72.0,7,8,19,4,11.8,8,8,0,0,0.0,Matches
24,25,Keylor Navas,cr CRC,GK,Paris S-G,36,1986,4,4,360,4.0,6,1.5,12,6,58.3,2,2,0,1,25.0,1,1,0,0,0.0,Matches
25,26,Massamba Ndiaye,sn SEN,GK,Clermont Foot,21,2001,4,4,360,4.0,6,1.5,24,18,79.2,1,2,1,0,0.0,1,1,0,0,0.0,Matches
26,27,Alexandre Oukidja,dz ALG,GK,Metz,35,1988,34,34,2987,33.2,57,1.72,185,128,72.4,8,5,21,6,17.6,6,6,0,0,0.0,Matches
27,28,Denis Petrić,rs SRB,GK,Nantes,35,1988,1,0,24,0.3,1,3.75,1,0,0.0,0,0,0,0,,0,0,0,0,,Matches
28,29,Guillaume Restes,fr FRA,GK,Toulouse,18,2005,34,34,3060,34.0,46,1.35,139,93,69.8,11,10,13,6,17.6,4,4,0,0,0.0,Matches
29,30,Rémy Riou,fr FRA,GK,Lyon,35,1987,3,3,270,3.0,6,2.0,14,8,57.1,0,1,2,1,33.3,0,0,0,0,,Matches
30,31,Brice Samba,fr FRA,GK,Lens,29,1994,33,33,2970,33.0,35,1.06,136,101,78.7,14,8,11,14,42.4,8,6,1,1,14.3,Matches
31,32,Matz Sels,be BEL,GK,Strasbourg,31,1992,19,19,1710,19.0,24,1.26,62,40,62.9,6,7,6,3,15.8,1,1,0,0,0.0,Matches
32,33,Arnau Tenas,es ESP,GK,Paris S-G,22,2001,6,5,529,5.9,7,1.19,25,18,72.0,2,2,1,1,20.0,0,0,0,0,,Matches
