,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,PlayingTime_MP,PlayingTime_Starts,PlayingTime_Min,PlayingTime_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per90Minutes_Gls,Per90Minutes_Ast,Per90Minutes_G+A,Per90Minutes_G-PK,Per90Minutes_G+A-PK,Per90Minutes_xG,Per90Minutes_xAG,Per90Minutes_xG+xAG,Per90Minutes_npxG,Per90Minutes_npxG+xAG,Matches
0,1,Keyliane Abdallah,fr FRA,FW,Marseille,17,2006,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1,2,Yunis Abdelhamid,ma MAR,DF,Reims,35,1987,31,31,2781,30.9,4,0,4,3,1,1,5,0,3.4,2.6,0.3,2.9,36,137,9,0.13,0.0,0.13,0.1,0.1,0.11,0.01,0.12,0.09,0.09,Matches
2,3,Salis Abdul Samed,gh GHA,MF,Lens,23,2000,27,17,1519,16.9,0,0,0,0,0,0,2,0,0.8,0.8,0.5,1.3,9,78,20,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,Matches
3,4,Laurent Abergel,fr FRA,MF,Lorient,30,1993,33,32,2860,31.8,2,1,3,2,0,0,4,0,1.1,1.1,2.2,3.3,38,194,51,0.06,0.03,0.09,0.06,0.09,0.04,0.07,0.1,0.04,0.1,Matches
4,5,Matthis Abline,fr FRA,FW,Nantes,20,2003,22,12,1044,11.6,5,0,5,5,0,0,1,0,3.8,3.8,2.0,5.8,28,20,87,0.43,0.0,0.43,0.43,0.43,0.33,0.17,0.5,0.33,0.5,Matches
5,6,Zakaria Aboukhlal,ma MAR,MFFW,Toulouse,23,2000,13,9,754,8.4,3,0,3,2,1,1,2,0,2.8,2.0,0.2,2.2,23,20,75,0.36,0.0,0.36,0.24,0.24,0.33,0.02,0.36,0.24,0.26,Matches
6,7,Bénie Adama Traore,ci CIV,FWMF,Nantes,20,2002,14,4,504,5.6,0,1,1,0,0,0,1,1,0.7,0.7,0.9,1.6,23,15,45,0.0,0.18,0.18,0.0,0.18,0.13,0.16,0.29,0.13,0.29,Matches
7,8,Akor Adams,ng NGA,FW,Montpellier,23,2000,32,27,2252,25.0,8,1,9,8,0,0,2,0,12.4,12.4,1.9,14.3,40,17,127,0.32,0.04,0.36,0.32,0.36,0.5,0.07,0.57,0.5,0.57,Matches
8,9,Nathaniel Adjei,gh GHA,DF,Lorient,20,2002,15,14,1243,13.8,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,10,34,4,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,Matches
9,10,Adryelson,br BRA,DFFW,Lyon,25,1998,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
10,11,Adson,br BRA,MFFW,Nantes,22,2000,8,2,238,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,18,15,19,0.0,0.0,0.0,0.0,0.0,0.09,0.04,0.13,0.09,0.13,Matches
11,12,Emmanuel Agbadou,ci CIV,DF,Reims,26,1997,32,29,2596,28.8,1,1,2,1,0,0,1,0,2.4,2.4,1.5,3.8,42,179,19,0.03,0.03,0.07,0.03,0.07,0.08,0.05,0.13,0.08,0.13,Matches
12,13,Ruben Aguilar,fr FRA,DF,Lens,30,1993,25,22,1922,21.4,1,3,4,1,0,0,3,0,1.4,1.4,2.9,4.3,36,110,162,0.05,0.14,0.19,0.05,0.19,0.07,0.14,0.2,0.07,0.2,Matches
13,14,Tosin Aiyegun,bj BEN,MFFW,Lorient,25,1998,19,10,902,10.0,2,0,2,2,0,0,0,1,1.8,1.8,0.3,2.1,17,16,52,0.2,0.0,0.2,0.2,0.2,0.18,0.03,0.21,0.18,0.21,Matches
14,15,Sergio Akieme,es ESP,DF,Reims,25,1997,13,8,818,9.1,2,0,2,2,0,0,2,0,1.4,1.4,0.4,1.8,20,20,34,0.22,0.0,0.22,0.22,0.22,0.16,0.04,0.2,0.16,0.2,Matches
15,16,Maghnes Akliouche,fr FRA,MFFW,Monaco,21,2002,28,18,1613,17.9,7,4,11,7,0,0,5,0,5.4,5.4,3.5,8.9,46,93,135,0.39,0.22,0.61,0.39,0.61,0.3,0.19,0.49,0.3,0.49,Matches
16,17,Paul Akouokou,ci CIV,MF,Lyon,25,1997,8,4,307,3.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,13,2,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
17,18,Aboubacar Ali,fr FRA,MFFW,Strasbourg,17,2006,9,1,130,1.4,0,1,1,0,0,0,0,0,0.2,0.2,0.1,0.3,3,3,12,0.0,0.69,0.69,0.0,0.69,0.17,0.05,0.22,0.17,0.22,Matches
18,19,Mohamed Ali Cho,fr FRA,FW,Nice,19,2004,17,11,861,9.6,1,2,3,1,0,0,2,0,1.1,1.1,2.0,3.1,48,25,77,0.1,0.21,0.31,0.1,0.31,0.12,0.21,0.32,0.12,0.32,Matches
19,20,Nabil Alioui,fr FRA,MFFW,Le Havre,24,1999,18,12,1009,11.2,4,1,5,4,0,0,1,0,2.4,2.4,2.2,4.6,22,43,72,0.36,0.09,0.45,0.36,0.45,0.21,0.19,0.41,0.21,0.41,Matches
20,21,Jim Allevinah,ga GAB,MFDF,Clermont Foot,28,1995,29,22,1861,20.7,2,1,3,2,0,0,1,0,2.6,2.6,1.2,3.8,87,52,120,0.1,0.05,0.15,0.1,0.15,0.12,0.06,0.18,0.12,0.18,Matches
21,22,Skelly Alvero,fr FRA,MF,Lyon,21,2002,8,6,426,4.7,1,0,1,1,0,0,2,0,0.4,0.4,0.0,0.4,3,27,13,0.21,0.0,0.21,0.21,0.21,0.09,0.0,0.09,0.09,0.09,Matches
22,23,Papa Amadou Diallo,sn SEN,FW,Metz,19,2004,16,9,889,9.9,2,1,3,2,0,0,1,0,2.6,2.6,0.9,3.5,25,30,65,0.2,0.1,0.3,0.2,0.3,0.26,0.09,0.35,0.26,0.35,Matches
23,24,Jordan Amavi,fr FRA,DF,Brest,29,1994,2,1,91,1.0,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.1,0,2,1,0.99,0.0,0.99,0.99,0.99,0.1,0.0,0.1,0.1,0.1,Matches
24,25,Kelvin Amian,fr FRA,DF,Nantes,25,1998,12,11,798,8.9,0,1,1,0,0,0,2,0,0.1,0.1,0.6,0.6,12,28,21,0.0,0.11,0.11,0.0,0.11,0.01,0.07,0.07,0.01,0.07,Matches
25,26,Michael Amir Murillo,pa PAN,DF,Marseille,27,1996,16,10,997,11.1,3,2,5,3,0,0,3,0,0.8,0.8,1.2,2.0,6,35,52,0.27,0.18,0.45,0.27,0.45,0.07,0.11,0.18,0.07,0.18,Matches
26,27,Benjamin André,fr FRA,MF,Lille,32,1990,30,29,2570,28.6,4,0,4,4,0,0,8,0,2.6,2.6,1.3,3.9,19,180,37,0.14,0.0,0.14,0.14,0.14,0.09,0.05,0.14,0.09,0.14,Matches
27,28,Komnen Andrić,rs SRB,FW,Clermont Foot,28,1995,7,1,169,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0,5,24,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.12,0.03,0.12,Matches
28,29,Stredair Appuah,fr FRA,FWMF,Nantes,19,2004,4,0,84,0.9,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,3,0,2,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.46,0.46,0.46,Matches
29,30,Yoël Armougom,fr FRA,DFMF,Clermont Foot,25,1998,5,2,234,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,6,12,25,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.12,0.01,0.12,Matches
30,31,Hákon Arnar Haraldsson,is ISL,FWMF,Lille,20,2003,26,15,1284,14.3,2,0,2,2,0,0,5,0,0.8,0.8,1.5,2.2,25,48,90,0.14,0.0,0.14,0.14,0.14,0.05,0.1,0.16,0.05,0.16,Matches
31,32,Mohamed El Arouch,fr FRA,FW,Lyon,19,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
32,33,Marco Asensio,es ESP,MFFW,Paris S-G,27,1996,19,13,1113,12.4,4,5,9,4,0,0,0,0,3.2,3.2,5.8,9.0,36,71,92,0.32,0.4,0.73,0.32,0.73,0.26,0.47,0.73,0.26,0.73,Matches
33,34,Joel Asoro,se SWE,FWMF,Metz,24,1999,20,10,848,9.4,2,1,3,2,0,0,2,0,0.6,0.6,0.3,0.9,14,16,43,0.21,0.11,0.32,0.21,0.32,0.06,0.03,0.09,0.06,0.09,Matches
34,35,Lorenz Assignon,tg TOG,DF,Rennes,23,2000,14,12,1011,11.2,1,1,2,1,0,0,4,0,0.4,0.4,1.8,2.2,28,51,67,0.09,0.09,0.18,0.09,0.18,0.04,0.16,0.2,0.04,0.2,Matches
35,36,Youcef Atal,dz ALG,DF,Nice,27,1996,6,5,359,4.0,1,0,1,1,0,0,2,0,0.1,0.1,0.8,0.9,9,15,5,0.25,0.0,0.25,0.25,0.25,0.03,0.2,0.24,0.03,0.24,Matches
36,37,Valentin Atangana Edoa,fr FRA,MF,Reims,17,2005,15,7,555,6.2,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,10,21,17,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.1,0.08,0.1,Matches
37,38,Arthur Atta,fr FRA,MFFW,Metz,20,2003,21,10,924,10.3,1,2,3,1,0,0,0,0,0.6,0.6,1.3,1.9,16,48,22,0.1,0.19,0.29,0.1,0.29,0.06,0.13,0.18,0.06,0.18,Matches
38,39,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,34,1989,34,30,2622,29.1,17,8,25,13,4,4,4,0,20.5,17.3,5.6,23.0,68,58,235,0.58,0.27,0.86,0.45,0.72,0.7,0.19,0.9,0.59,0.79,Matches
39,40,André Ayew,gh GHA,FW,Le Havre,33,1989,19,12,1104,12.3,5,0,5,5,0,0,2,1,3.1,3.1,0.8,3.9,14,23,65,0.41,0.0,0.41,0.41,0.41,0.25,0.07,0.32,0.25,0.32,Matches
40,41,Neil El Aynaoui,fr FRA,MF,Lens,22,2001,25,17,1566,17.4,1,2,3,1,0,0,1,0,2.4,2.4,0.8,3.2,25,59,44,0.06,0.11,0.17,0.06,0.17,0.14,0.05,0.19,0.14,0.19,Matches
41,42,Abdellah Baallal,ma MAR,MF,Clermont Foot,18,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
42,43,Shavy Babicka,ga GAB,FWMF,Toulouse,23,2000,12,4,373,4.1,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.7,17,8,64,0.24,0.0,0.24,0.24,0.24,0.14,0.03,0.17,0.14,0.17,Matches
43,44,Aliou Badara Baldé,gn GUI,FWDF,Nice,20,2002,7,0,69,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,2,8,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17,Matches
44,45,Tiemoué Bakayoko,fr FRA,MF,Lorient,28,1994,20,15,1314,14.6,2,1,3,2,0,0,5,0,1.7,1.7,0.5,2.2,14,54,15,0.14,0.07,0.21,0.14,0.21,0.12,0.03,0.15,0.12,0.15,Matches
45,46,Dilane Bakwa,fr FRA,FWMF,Strasbourg,20,2002,31,25,2177,24.2,3,6,9,3,0,0,4,1,3.2,3.2,6.2,9.4,94,92,204,0.12,0.25,0.37,0.12,0.37,0.13,0.26,0.39,0.13,0.39,Matches
46,47,Carlos Baleba,cm CMR,MF,Lille,19,2004,2,1,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,1,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
47,48,Leonardo Balerdi,ar ARG,DF,Marseille,24,1999,27,26,2271,25.2,2,0,2,2,0,0,6,1,0.9,0.9,0.2,1.0,19,122,6,0.08,0.0,0.08,0.08,0.08,0.03,0.01,0.04,0.03,0.04,Matches
48,49,Folarin Balogun,us USA,FW,Monaco,22,2001,29,19,1692,18.8,7,5,12,7,0,3,1,0,11.0,8.5,3.3,11.8,35,30,199,0.37,0.27,0.64,0.37,0.64,0.59,0.18,0.76,0.45,0.63,Matches
49,50,Mohamed Bamba,ci CIV,FW,Lorient,21,2001,16,14,1138,12.6,8,3,11,7,1,1,3,0,6.4,5.6,2.1,7.7,25,16,69,0.63,0.24,0.87,0.55,0.79,0.51,0.16,0.67,0.44,0.61,Matches
50,51,Mamady Bangré,bf BFA,FWMF,Toulouse,22,2001,8,0,101,1.1,0,1,1,0,0,0,2,0,0.1,0.1,0.7,0.8,10,9,12,0.0,0.89,0.89,0.0,0.89,0.12,0.59,0.71,0.12,0.71,Matches
51,52,Bradley Barcola,fr FRA,FW,Lyon,20,2002,3,3,270,3.0,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,11,9,31,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12,Matches
52,53,Bradley Barcola,fr FRA,FWMF,Paris S-G,20,2002,25,18,1370,15.2,4,7,11,4,0,0,3,1,4.5,4.5,5.2,9.8,93,56,216,0.26,0.46,0.72,0.26,0.72,0.3,0.34,0.64,0.3,0.64,Matches
53,54,Melvin Bard,fr FRA,DF,Nice,22,2000,32,31,2654,29.5,1,2,3,1,0,0,7,1,0.5,0.5,2.8,3.4,60,111,99,0.03,0.07,0.1,0.03,0.1,0.02,0.1,0.11,0.02,0.11,Matches
54,55,Steven Baseya,fr FRA,DF,Strasbourg,18,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
55,56,Mohamed Bechikh,fr FRA,FWMF,Strasbourg,18,2005,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
56,57,Yanis Begraoui,ma MAR,FWMF,Toulouse,22,2001,14,3,300,3.3,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,9,8,30,0.0,0.0,0.0,0.0,0.0,0.12,0.03,0.15,0.12,0.15,Matches
57,58,Jérémie Bela,ao ANG,MFFW,Clermont Foot,30,1993,12,1,203,2.3,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,14,10,33,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.15,0.1,0.15,Matches
58,59,Reda Belahyane,fr FRA,MF,Nice,19,2004,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
59,60,Alaa Bellaarouch,ma MAR,GK,Strasbourg,21,2002,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
60,61,Jean-Ricner Bellegarde,fr FRA,MFFW,Strasbourg,25,1998,3,3,269,3.0,2,2,4,2,0,0,2,0,0.6,0.6,1.5,2.1,9,11,10,0.67,0.67,1.34,0.67,1.34,0.19,0.51,0.69,0.19,0.69,Matches
61,62,Jeanuël Belocian,fr FRA,DF,Rennes,18,2005,23,16,1448,16.1,0,1,1,0,0,0,0,0,0.5,0.5,0.4,0.9,16,60,37,0.0,0.06,0.06,0.0,0.06,0.03,0.02,0.06,0.03,0.06,Matches
62,63,Eliesse Ben Seghir,ma MAR,MFFW,Monaco,18,2005,13,4,428,4.8,2,1,3,2,0,0,0,1,0.8,0.8,0.5,1.3,26,21,56,0.42,0.21,0.63,0.42,0.63,0.17,0.1,0.27,0.17,0.27,Matches
63,64,Wissam Ben Yedder,fr FRA,FW,Monaco,32,1990,32,26,2316,25.7,16,2,18,15,1,1,2,0,12.4,11.6,4.3,15.9,52,96,229,0.62,0.08,0.7,0.58,0.66,0.48,0.17,0.65,0.45,0.62,Matches
64,65,Saïd Benrahma,dz ALG,FWMF,Lyon,27,1995,12,10,770,8.6,3,3,6,3,0,0,2,0,1.6,1.6,3.6,5.2,46,34,113,0.35,0.35,0.7,0.35,0.7,0.19,0.42,0.61,0.19,0.61,Matches
65,66,Nabil Bentaleb,dz ALG,MF,Lille,28,1994,26,23,1967,21.9,0,3,3,0,0,0,7,0,0.4,0.4,0.9,1.2,11,136,17,0.0,0.14,0.14,0.0,0.14,0.02,0.04,0.06,0.02,0.06,Matches
66,67,Lucas Beraldo,br BRA,DF,Paris S-G,19,2003,13,12,1008,11.2,1,0,1,1,0,0,4,1,1.0,1.0,0.2,1.2,7,44,2,0.09,0.0,0.09,0.09,0.09,0.09,0.02,0.11,0.09,0.11,Matches
67,68,Dimitry Bertaud,cd COD,GK,Montpellier,25,1998,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
68,69,Marco Bizot,nl NED,GK,Brest,32,1991,32,32,2876,32.0,0,0,0,0,0,0,3,1,0.0,0.0,0.1,0.1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
69,70,Rubén Blanco,es ESP,GK,Marseille,28,1995,2,1,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
70,71,Ludovic Blas,fr FRA,FWMF,Rennes,25,1997,29,18,1563,17.4,4,1,5,3,1,2,3,0,4.7,3.1,1.7,4.8,46,59,157,0.23,0.06,0.29,0.17,0.23,0.27,0.1,0.37,0.18,0.27,Matches
71,72,Myron Boadu,nl NED,FW,Monaco,22,2001,9,0,85,0.9,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,3,1,9,1.06,0.0,1.06,1.06,1.06,0.46,0.0,0.46,0.46,0.46,Matches
72,73,Jeremie Boga,ci CIV,FW,Nice,26,1997,28,24,1998,22.2,6,6,12,6,0,0,1,0,4.3,4.3,4.2,8.5,107,64,170,0.27,0.27,0.54,0.27,0.54,0.19,0.19,0.38,0.19,0.38,Matches
73,74,Adama Bojang,gm GAM,FW,Reims,19,2004,9,0,83,0.9,0,0,0,0,0,0,1,0,1.3,1.3,0.0,1.3,2,1,8,0.0,0.0,0.0,0.0,0.0,1.38,0.05,1.43,1.38,1.43,Matches
74,75,Ângelo Borges,br BRA,FWMF,Strasbourg,18,2004,21,11,1094,12.2,0,3,3,0,0,0,1,0,0.4,0.4,3.3,3.7,50,59,109,0.0,0.25,0.25,0.0,0.25,0.04,0.27,0.31,0.04,0.31,Matches
75,76,Neto Borges,br BRA,DF,Clermont Foot,26,1996,28,28,2516,28.0,0,1,1,0,0,0,3,1,0.5,0.5,2.8,3.4,58,88,165,0.0,0.04,0.04,0.0,0.04,0.02,0.1,0.12,0.02,0.12,Matches
76,77,Saïmon Bouabré,fr FRA,MF,Monaco,17,2006,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
77,78,Ayyoub Bouaddi,fr FRA,MF,Lille,15,2007,9,1,131,1.5,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,1,12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
78,79,Badredine Bouanani,dz ALG,FW,Nice,18,2004,7,1,161,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,10,2,24,0.0,0.0,0.0,0.0,0.0,0.12,0.26,0.37,0.12,0.37,Matches
79,80,Badredine Bouanani,dz ALG,MF,Lorient,18,2004,11,4,443,4.9,1,0,1,1,0,0,0,0,1.4,1.4,0.9,2.3,30,32,27,0.2,0.0,0.2,0.2,0.2,0.28,0.18,0.46,0.28,0.46,Matches
80,81,Mohamed Bouchenna,fr FRA,MFFW,Clermont Foot,17,2006,2,0,29,0.3,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,0,1,3,0.0,0.0,0.0,0.0,0.0,0.19,0.65,0.85,0.19,0.85,Matches
81,82,Hicham Boudaoui,dz ALG,MF,Nice,23,1999,29,17,1613,17.9,2,0,2,2,0,0,5,0,3.3,3.3,1.8,5.1,28,78,58,0.11,0.0,0.11,0.11,0.11,0.19,0.1,0.29,0.19,0.29,Matches
82,83,Benjamin Bourigeaud,fr FRA,MFFW,Rennes,29,1994,32,29,2425,26.9,9,6,15,2,7,7,1,0,9.9,4.4,6.7,11.1,27,178,139,0.33,0.22,0.56,0.07,0.3,0.37,0.25,0.62,0.16,0.41,Matches
83,84,Bilal Boutobba,fr FRA,FWMF,Clermont Foot,24,1998,27,10,926,10.3,1,1,2,1,0,0,1,0,2.0,2.0,1.7,3.7,38,43,86,0.1,0.1,0.19,0.1,0.19,0.2,0.17,0.36,0.2,0.36,Matches
84,85,Hugo Boutsingkham,fr FRA,MFFW,Nantes,20,2003,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
85,86,Bilal Brahimi,dz ALG,FW,Nice,23,2000,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.58,0.0,0.58,Matches
86,87,Bilal Brahimi,dz ALG,FWMF,Brest,23,2000,18,1,221,2.5,0,0,0,0,0,0,1,1,0.1,0.1,0.3,0.4,15,9,39,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.15,0.04,0.15,Matches
